Treasure Class	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	Term
Act 4 (H) Melee B	1						mele57	1	armo57	1	mele60	3	armo60	3	mele63	7	armo63	7	mele66	1	armo66	1	Act 4 (H) Melee A	280	Act 5 (N) Melee B	880	0
Act 5 (H) Melee A	1						mele57	1	armo57	1	mele60	3	armo60	3	mele63	7	armo63	7	mele66	3	armo66	3	Act 4 (H) Melee B	290	Act 5 (N) Melee B	920	0
Act 5 (H) Melee B	1						mele57	1	armo57	1	mele60	3	armo60	3	mele63	7	armo63	7	mele66	5	armo66	5	Act 5 (H) Melee A	300	Act 5 (N) Melee B	960	0
Act 5 (H) Melee C	1						mele57	1	armo57	1	mele60	3	armo60	3	mele63	7	armo63	7	mele66	5	armo66	5	Act 5 (H) Melee B	310	Act 5 (N) Melee B	1000	0
Act 1 Bow A	1						bow3	36																			0
Act 1 Bow B	1						bow3	20	bow6	16																	0
Act 1 Bow C	1						bow3	10	bow6	16	bow9	10															0
Act 2 Bow A	1						bow3	3	bow6	15	bow9	15	bow12	3													0
Act 2 Bow B	1						bow3	1	bow6	7	bow9	20	bow12	7	bow15	1											0
Act 2 Bow C	1						bow3	1	bow6	3	bow9	14	bow12	14	bow15	3	bow18	1									0
Act 3 Bow A	1						bow3	1	bow6	3	bow9	6	bow12	12	bow15	6	bow18	3	bow21	1							0
Act 3 Bow B	1						bow3	1	bow6	3	bow9	6	bow12	8	bow15	8	bow18	6	bow21	3	bow24	1					0
Act 3 Bow C	1						bow3	1	bow6	2	bow9	5	bow12	7	bow15	8	bow18	7	bow21	4	bow24	2					0
Act 4 Bow A	1						bow6	1	bow9	3	bow12	6	bow15	8	bow18	8	bow21	6	bow24	3	bow27	1	Act 3 Bow C	80			0
Act 4 Bow B	1						bow6	1	bow9	2	bow12	5	bow15	7	bow18	8	bow21	7	bow24	4	bow27	2	Act 4 Bow A	80			0
Act 5 Bow A	1						bow9	1	bow12	3	bow15	6	bow18	8	bow21	8	bow24	6	bow27	3	bow30	1	Act 4 Bow B	80			0
Act 5 Bow B	1						bow9	1	bow12	2	bow15	5	bow18	7	bow21	8	bow24	7	bow27	4	bow30	2	Act 5 Bow A	80			0
Act 5 Bow C	1						bow9	1	bow12	2	bow15	5	bow18	7	bow21	8	bow24	7	bow27	4	bow30	2	Act 5 Bow B	80			0
Act 1 (N) Bow A	1						bow12	1	bow15	3	bow18	6	bow21	8	bow24	8	bow27	6	bow30	3	bow33	1	Act 5 Bow C	100	Act 5 Bow B	100	0
Act 1 (N) Bow B	1						bow12	1	bow15	2	bow18	5	bow21	7	bow24	8	bow27	7	bow30	4	bow33	2	Act 1 (N) Bow A	110	Act 5 Bow B	110	0
Act 2 (N) Bow A	1						bow15	1	bow18	3	bow21	6	bow24	8	bow27	8	bow30	6	bow33	3	bow36	1	Act 1 (N) Bow B	120	Act 5 Bow B	120	0
Act 2 (N) Bow B	1						bow15	1	bow18	2	bow21	5	bow24	7	bow27	8	bow30	7	bow33	4	bow36	2	Act 2 (N) Bow A	130	Act 5 Bow B	130	0
Act 3 (N) Bow A	1						bow18	1	bow21	3	bow24	6	bow27	8	bow30	8	bow33	6	bow36	3	bow39	1	Act 2 (N) Bow B	140	Act 5 Bow B	140	0
Act 3 (N) Bow B	1						bow18	1	bow21	2	bow24	5	bow27	7	bow30	8	bow33	7	bow36	4	bow39	2	Act 3 (N) Bow A	150	Act 5 Bow B	150	0
Act 4 (N) Bow A	1						bow21	1	bow24	3	bow27	6	bow30	8	bow33	8	bow36	6	bow39	3	bow42	1	Act 3 (N) Bow B	160	Act 5 Bow B	160	0
Act 4 (N) Bow B	1						bow21	1	bow24	2	bow27	5	bow30	7	bow33	8	bow36	7	bow39	4	bow42	2	Act 4 (N) Bow A	170	Act 5 Bow B	170	0
Act 5 (N) Bow A	1						bow24	1	bow27	3	bow30	6	bow33	8	bow36	8	bow39	6	bow42	3	bow45	1	Act 4 (N) Bow B	180	Act 5 Bow B	180	0
Act 5 (N) Bow B	1						bow24	1	bow27	2	bow30	5	bow33	7	bow36	8	bow39	7	bow42	4	bow45	2	Act 5 (N) Bow A	190	Act 5 Bow B	190	0
Act 5 (N) Bow C	1						bow24	1	bow27	2	bow30	5	bow33	7	bow36	8	bow39	7	bow42	4	bow45	2	Act 5 (N) Bow B	200	Act 5 Bow B	200	0
Act 1 (H) Bow A	1						bow27	1	bow30	3	bow33	6	bow36	8	bow39	8	bow42	6	bow45	3	bow48	1	Act 5 (N) Bow C	210	Act 5 (N) Bow B	600	0
Act 1 (H) Bow B	1						bow27	1	bow30	2	bow33	5	bow36	7	bow39	8	bow42	7	bow45	4	bow48	2	Act 1 (H) Bow A	220	Act 5 Bow B	640	0
Act 2 (H) Bow A	1						bow30	1	bow33	3	bow36	6	bow39	8	bow42	8	bow45	6	bow48	3	bow51	1	Act 1 (H) Bow B	230	Act 5 Bow B	680	0
Act 2 (H) Bow B	1						bow30	1	bow33	2	bow36	5	bow39	7	bow42	8	bow45	7	bow48	4	bow51	2	Act 2 (H) Bow A	240	Act 5 Bow B	720	0
Act 3 (H) Bow A	1						bow33	1	bow36	3	bow39	6	bow42	8	bow45	8	bow48	6	bow51	3	bow54	1	Act 2 (H) Bow B	250	Act 5 Bow B	760	0
Act 3 (H) Bow B	1						bow33	1	bow36	2	bow39	5	bow42	7	bow45	8	bow48	7	bow51	4	bow54	2	Act 3 (H) Bow A	260	Act 5 Bow B	800	0
Act 4 (H) Bow A	1						bow36	1	bow39	3	bow42	6	bow45	8	bow48	8	bow51	6	bow54	3	bow57	1	Act 3 (H) Bow B	270	Act 5 Bow B	840	0
Act 4 (H) Bow B	1						bow36	1	bow39	2	bow42	5	bow45	7	bow48	8	bow51	7	bow54	4	bow57	2	Act 4 (H) Bow A	280	Act 5 Bow B	880	0
Act 5 (H) Bow A	1						bow39	1	bow42	3	bow45	6	bow48	8	bow51	8	bow54	6	bow57	3	bow60	1	Act 4 (H) Bow B	290	Act 5 Bow B	920	0
Act 5 (H) Bow B	1						bow42	1	bow45	3	bow48	6	bow51	8	bow54	8	bow57	6	bow60	3	bow63	1	Act 5 (H) Bow A	300	Act 5 Bow B	960	0
Act 5 (H) Bow C	1						bow42	1	bow45	3	bow48	6	bow51	8	bow54	8	bow57	6	bow60	3	bow63	1	Act 5 (H) Bow B	310	Act 5 Bow B	1000	0
Act 1 Magic A	1						tsc	2	isc	4	mp1	6															0
Act 1 Magic B	1						tsc	2	isc	4	mp1	4	mp2	2													0
Act 1 Magic C	1						tsc	2	isc	4	mp1	2	mp2	4													0
Act 2 Magic A	1						tsc	2	isc	4	mp1	1	mp2	4	mp3	1											0
Act 2 Magic B	1						tsc	2	isc	4	mp1	1	mp2	3	mp3	2											0
Act 2 Magic C	1						tsc	2	isc	4	mp2	2	mp3	3	mp4	1											0
Act 3 Magic A	1						tsc	2	isc	4	mp3	4	mp4	2													0
Act 3 Magic B	1						tsc	2	isc	4	mp3	3	mp4	3													0
Act 3 Magic C	1						tsc	2	isc	4	mp3	2	mp4	3	mp5	1											0
Act 4 Magic A	1						tsc	2	isc	4	mp3	1	mp4	4	mp5	1											0
Act 4 Magic B	1						tsc	2	isc	4	mp4	4	mp5	2													0
Act 5 Magic A	1						tsc	2	isc	4	mp4	3	mp5	3													0
Act 5 Magic B	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 5 Magic C	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 1 (N) Magic A	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 1 (N) Magic B	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 2 (N) Magic A	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 2 (N) Magic B	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 3 (N) Magic A	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 3 (N) Magic B	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 4 (N) Magic A	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 4 (N) Magic B	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 5 (N) Magic A	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 5 (N) Magic B	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 5 (N) Magic C	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 1 (H) Magic A	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 1 (H) Magic B	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 2 (H) Magic A	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 2 (H) Magic B	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 3 (H) Magic A	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 3 (H) Magic B	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 4 (H) Magic A	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 4 (H) Magic B	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 5 (H) Magic A	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 5 (H) Magic B	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 5 (H) Magic C	1						tsc	2	isc	4	mp4	2	mp5	4													0
Act 1 Good	1						Jewelry A	5	Chipped Gem	5																	0
Act 2 Good	1						Jewelry B	20	Chipped Gem	12	Flawed Gem	4	Runes 1	3	Runes 2	3											0
Act 3 Good	1						Jewelry C	20	Chipped Gem	8	Flawed Gem	8	Runes 3	3	Runes 4	3											0
Act 4 Good	1						Jewelry C	50	Chipped Gem	14	Flawed Gem	28	Normal Gem	42	Runes 5	14	Runes 6	7									0
Act 5 Good	1						Jewelry C	50	Chipped Gem	6	Flawed Gem	8	Normal Gem	24	Flawless Gem	4	Runes 7	10									0
Act 1 (N) Good	1						Jewelry C	60	Chipped Gem	6	Flawed Gem	8	Normal Gem	28	Flawless Gem	14	Runes 8	14									0
Act 2 (N) Good	1						Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 9	14									0
Act 3 (N) Good	1						Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 10	14									0
Act 4 (N) Good	1						Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 11	14									0
Act 5 (N) Good	1						Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 12	14									0
Act 1 (H) Good	1						Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 13	14									0
Act 2 (H) Good	1						Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 14	14									0
Act 3 (H) Good	1						Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 15	14									0
Act 4 (H) Good	1						Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 16	14									0
Act 5 (H) Good	1						Jewelry C	60	Chipped Gem	4	Flawed Gem	10	Normal Gem	14	Flawless Gem	28	Runes 17	14									0
Act 1 Chest A	4					100	gld	15	Act 1 Junk	15	Act 1 Equip A	10	Act 1 Good	2													0
Act 1 Chest B	4					100	gld	15	Act 1 Junk	15	Act 1 Equip B	10	Act 1 Good	2													0
Act 1 Chest C	4					100	gld	15	Act 1 Junk	12	Act 2 Junk	3	Act 1 Equip C	15	Act 1 Good	2											0
Act 2 Chest A	4					100	gld	15	Act 2 Junk	15	Act 2 Equip A	10	Act 2 Good	2													0
